time,x,y,z,speed,WFS,I,U,layer_id
38:28.6,400.103,799.499,41.395,0.208,1.49,0.0,0.04,4
38:28.7,401.17,799.505,41.397,1.065,1.49,0.0,0.04,4
38:28.7,401.636,799.496,41.4,1.065,1.49,0.0,0.04,4
38:28.8,402.911,799.493,41.403,1.01,1.49,0.0,0.04,4
38:28.8,404.115,799.498,41.405,1.01,2.61,87.4,8.97,4
38:28.9,405.311,799.511,41.395,1.058,2.61,87.4,8.97,4
38:28.9,405.776,799.501,41.397,1.058,2.61,87.4,8.97,4
38:29.0,407.049,799.496,41.396,1.02,2.61,87.4,8.97,4
38:29.1,408.247,799.495,41.39,1.02,5.36,122.6,11.89,4
38:29.2,409.454,799.496,41.397,0.951,5.36,122.6,11.89,4
38:29.2,409.856,799.497,41.394,0.951,5.36,122.6,11.89,4
38:29.3,411.192,799.495,41.403,1.044,5.36,122.6,11.89,4
38:29.3,412.527,799.493,41.394,1.044,5.78,128.1,12.65,4
38:29.4,413.797,799.498,41.395,0.944,5.78,128.1,12.65,4
38:29.4,414.199,799.498,41.407,0.944,5.78,128.1,12.65,4
38:29.5,415.538,799.493,41.406,0.946,5.78,128.1,12.65,4
38:29.6,415.94,799.493,41.401,0.946,5.78,128.1,12.65,4
38:29.6,417.202,799.506,41.407,0.899,6.6,143.0,13.47,4
38:29.7,417.601,799.504,41.399,0.899,6.6,143.0,13.47,4
38:29.7,418.866,799.503,41.393,0.968,6.6,143.0,13.47,4
38:29.8,419.274,799.503,41.398,0.968,6.6,143.0,13.47,4
38:29.8,420.409,799.506,41.404,1.108,6.6,143.0,13.47,4
38:29.8,420.878,799.494,41.395,1.108,6.69,143.0,13.57,4
38:29.9,421.345,799.501,41.405,0.987,6.69,143.0,13.57,4
38:30.0,422.746,799.499,41.395,0.987,6.69,143.0,13.57,4
38:30.0,424.014,799.495,41.393,1.039,6.69,143.0,13.57,4
38:30.1,425.488,799.504,41.41,1.039,6.97,146.4,13.84,4
38:30.2,426.893,799.499,41.405,1.006,6.97,146.4,13.84,4
38:30.3,428.088,799.503,41.402,1.006,6.97,146.4,13.84,4
38:30.4,429.498,799.499,41.407,0.917,7.61,140.9,14.65,4
38:30.4,429.894,799.494,41.395,0.917,7.61,140.9,14.65,4
38:30.5,431.102,799.498,41.411,0.904,7.61,140.9,14.65,4
38:30.5,431.493,799.504,41.392,0.904,7.61,140.9,14.65,4
38:30.6,432.763,799.498,41.394,1.142,7.61,140.9,14.65,4
38:30.6,433.233,799.502,41.393,1.142,7.61,140.9,14.65,4
38:30.7,434.497,799.51,41.392,0.953,7.05,137.5,13.92,4
38:30.7,434.9,799.505,41.39,0.953,7.05,137.5,13.92,4
38:30.8,436.436,799.509,41.399,0.974,7.05,137.5,13.92,4
38:30.8,436.838,799.504,41.397,0.974,7.05,137.5,13.92,4
38:30.9,438.04,799.503,41.388,0.929,6.83,139.0,13.7,4
38:30.9,438.442,799.499,41.403,0.929,6.83,139.0,13.7,4
38:31.0,439.709,799.504,41.391,1.067,6.83,139.0,13.7,4
38:31.0,440.177,799.506,41.403,1.067,6.83,139.0,13.7,4
38:31.1,441.319,799.499,41.405,1.078,6.83,139.0,13.7,4
38:31.1,441.786,799.5,41.4,1.078,6.83,139.0,13.7,4
38:31.2,443.049,799.501,41.399,0.98,6.62,143.0,13.19,4
38:31.2,443.459,799.499,41.408,0.98,6.62,143.0,13.19,4
38:31.3,444.592,799.504,41.404,1.092,6.62,143.0,13.19,4
38:31.3,445.057,799.503,41.396,1.092,6.62,143.0,13.19,4
38:31.4,446.327,799.507,41.406,0.801,6.62,143.0,13.19,4
38:31.4,446.656,799.507,41.4,0.801,6.5,143.7,13.4,4
38:31.5,447.928,799.494,41.393,0.931,6.5,143.7,13.4,4
38:31.5,448.331,799.504,41.397,0.931,6.5,143.7,13.4,4
38:31.6,449.561,799.504,41.401,0.612,6.5,143.7,13.4,4
38:31.6,449.824,799.498,41.398,0.612,6.5,143.7,13.4,4
38:31.7,450.003,799.498,41.407,0.0,7.06,135.0,13.67,4
38:31.7,450.003,799.498,41.407,0.0,7.06,135.0,13.67,4
38:31.8,450.003,799.498,41.407,0.0,7.06,135.0,13.67,4
38:31.8,450.003,799.498,41.407,0.0,7.06,135.0,13.67,4
38:31.9,450.003,799.498,41.407,0.0,7.06,135.0,13.67,4
38:31.9,450.003,799.498,41.407,0.0,7.06,135.0,13.67,4
38:32.0,450.003,799.498,41.407,0.0,5.5,118.2,12.1,4
38:32.0,450.003,799.498,41.407,0.0,5.5,118.2,12.1,4
38:32.1,450.003,799.498,41.407,0.0,5.5,118.2,12.1,4
38:32.1,450.003,799.498,41.407,0.0,5.5,118.2,12.1,4
38:50.1,449.998,799.495,43.398,0.0,7.0,124.6,13.05,5
38:50.2,449.727,799.498,43.389,0.763,7.0,124.6,13.05,5
38:50.2,449.414,799.5,43.401,0.763,7.0,124.6,13.05,5
38:50.3,448.295,799.511,43.408,1.117,7.0,124.6,13.05,5
38:50.3,447.821,799.507,43.386,1.117,7.0,124.6,13.05,5
