time, x, y, z, speed, ArcOn, WFS, I, U, tool, frame, dz, speedOverride
37:03.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.7,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.8,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:03.9,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.0,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.1,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.2,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.3,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.4,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.5,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
37:04.6,450.003,799.495,35.454,0,0,6.62,135.2,13.54,4,7,0,100
