X,Y,Z,layer_id_2MethodKmean7
1864.82,353.769,-38.8814,1
1864.82,353.825,-38.9032,1
1864.82,353.881,-38.926,1
1864.81,353.936,-38.9401,1
1864.81,353.993,-38.9552,1
1864.8,354.047,-39.0236,1
1864.78,354.101,-39.0931,1
1864.78,354.158,-39.0994,1
1864.78,354.215,-39.0989,1
1864.78,354.27,-39.1217,1
1864.77,354.327,-39.1513,1
1864.77,354.383,-39.1819,1
1864.77,354.439,-39.1882,1
1864.76,354.494,-39.2344,1
1864.75,354.549,-39.2883,1
1864.72,354.602,-39.4121,1
1864.71,354.657,-39.4582,1
1864.69,354.713,-39.5276,1
1864.69,354.769,-39.5572,1
1864.65,354.822,-39.713,1
1864.64,354.878,-39.7436,1
1864.64,354.933,-39.782,1
1864.61,354.987,-39.8912,1
1864.58,355.041,-40.0082,1
1864.57,355.097,-40.0621,1
1864.54,355.151,-40.1723,1
1864.49,355.203,-40.3922,0
1864.43,355.254,-40.6451,0
1864.19,355.288,-41.5795,0
1863.0,351.097,-41.5018,0
1863.24,351.206,-40.5588,0
1863.31,351.276,-40.297,0
1863.36,351.343,-40.1061,1
1863.41,351.409,-39.9404,1
1863.46,351.478,-39.7272,1
1863.48,351.536,-39.6878,1
1863.53,351.605,-39.4755,1
1863.55,351.664,-39.4274,1
1863.55,351.722,-39.4036,1
1863.57,351.781,-39.3322,1
1863.59,351.841,-39.2851,1
1863.61,351.901,-39.2215,1
1863.64,351.963,-39.1122,1
1863.64,352.021,-39.0874,1
1863.65,352.078,-39.0714,1
1863.66,352.137,-39.0389,1
1863.67,352.194,-39.0151,1
1863.67,352.252,-39.0068,1
1863.68,352.309,-38.9898,1
1863.69,352.367,-38.9427,1
1863.69,352.424,-38.9413,1
1863.7,352.482,-38.9175,1
1863.72,352.541,-38.8548,1
1863.72,352.598,-38.8534,1
1863.72,352.654,-38.8607,1
1863.73,352.712,-38.8446,1
1863.73,352.769,-38.8277,1
1863.74,352.826,-38.8116,1
1863.74,352.883,-38.8189,1
