X,Y,Z,layer_id_5MethodGeometryBased,layer_id,proc_I,proc_U,proc_WFS,proc_speed,matched_layer_id
1824.53,354.625,-40.021,1,1,137.7555555555547,13.046296296296251,5.951666666666492,0.57,1
1824.54,354.568,-39.9817,1,1,137.63209876543132,13.039711934156339,5.925740740740584,0.57,1
1824.54,352.468,-39.6843,1,1,137.63209876543132,13.039711934156339,5.925740740740584,0.57,1
1824.55,354.513,-39.9201,1,1,137.50864197530797,13.033127572016426,5.8998148148146745,0.57,1
1824.55,352.527,-39.6517,1,1,137.50864197530797,13.033127572016426,5.8998148148146745,0.57,1
1824.56,352.586,-39.6202,1,1,137.38518518518458,13.026543209876513,5.873888888888765,0.57,1
1824.57,354.458,-39.8497,1,1,137.2617283950612,13.019958847736598,5.847962962962857,0.57,1
1824.57,352.643,-39.5876,1,1,137.2617283950612,13.019958847736598,5.847962962962857,0.57,1
1824.58,354.346,-39.7807,1,1,137.13827160493784,13.013374485596685,5.822037037036948,0.57,1
1824.58,352.701,-39.5784,1,1,137.13827160493784,13.013374485596685,5.822037037036948,0.57,1
1824.58,354.403,-39.8036,1,1,137.13827160493784,13.013374485596685,5.822037037036948,0.57,1
1824.58,354.29,-39.7735,1,1,137.13827160493784,13.013374485596685,5.822037037036948,0.57,1
1824.59,354.233,-39.7594,1,1,137.01481481481446,13.006790123456772,5.796111111111038,0.57,1
1824.59,352.76,-39.5468,1,1,137.01481481481446,13.006790123456772,5.796111111111038,0.57,1
1824.6,352.818,-39.5143,1,1,136.89135802469107,13.000205761316858,5.77018518518513,0.57,1
1824.61,354.179,-39.6734,1,1,136.76790123456772,12.993621399176945,5.744259259259221,0.57,1
1824.61,352.877,-39.4662,1,1,136.76790123456772,12.993621399176945,5.744259259259221,0.57,1
1824.62,354.125,-39.604,1,1,136.7,12.99,5.73,0.5705863422292001,1
1824.62,352.934,-39.4502,1,1,136.7,12.99,5.73,0.5705863422292001,1
1824.62,354.068,-39.589,1,1,136.7,12.99,5.73,0.5705863422292001,1
1824.62,354.012,-39.5739,1,1,136.7,12.99,5.73,0.5705863422292001,1
1824.62,353.955,-39.5666,1,1,136.7,12.99,5.73,0.5705863422292001,1
1824.63,353.899,-39.5526,1,1,136.7,12.99,5.73,0.5718893249607824,1
1824.63,353.842,-39.5298,1,1,136.7,12.99,5.73,0.5718893249607824,1
1824.63,352.993,-39.4331,1,1,136.7,12.99,5.73,0.5718893249607824,1
1824.64,353.73,-39.4763,1,1,136.7,12.99,5.73,0.573192307692335,1
1824.64,353.787,-39.4914,1,1,136.7,12.99,5.73,0.573192307692335,1
1824.64,353.674,-39.4535,1,1,136.7,12.99,5.73,0.573192307692335,1
1824.64,353.051,-39.3851,1,1,136.7,12.99,5.73,0.573192307692335,1
1824.65,353.11,-39.3535,1,1,136.7,12.99,5.73,0.5744952904238876,1
1824.66,353.564,-39.3778,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.619,-39.3996,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.394,-39.3414,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.338,-39.3496,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.451,-39.3399,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.507,-39.3627,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.225,-39.3282,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.28,-39.3423,1,1,136.7,12.99,5.73,0.5757982731554403,1
1824.66,353.168,-39.3287,1,1,136.7,12.99,5.73,0.5757982731554403,1
